Year,Event Name,Country,Longitude,Latitude,Date (UTC),Time (UTC),Magnitude,Focal depth (km),People injured,People killed,People injured string,People killed string,Buildings destroyed,Buildings damaged,Dwellings Destroyed,Dwellings damaged,People homeless,People homeless string,Direct economic loss (USD millions),Event narrative
1992,Roermond,Netherlands,5.93,51.15,"April 13th, 1992",1:20:00,5.4,15,45,1,45,1,100,1300,0,0,200,200,176,
1990,Luzon,Philippines,121.18,15.723,"July 16th, 1990",7:26:34,7.7,24.3,3513,2430,"3,513","2,430",40000,100000,0,0,120000,"120,000",700,
1990,Manjil,Iran,49.213,37.008,"June 20th, 1990",21:00:00,7.4,18,60000,45000,"60,000","45,000",0,0,0,0,400000,"400,000",7500,
1990,Vrancea area,Romania,26.64,45.86,"May 30th, 1990",10:40:00,7,89,350,14,350,14,0,0,0,0,0,0,20,
1989,USA,Loma Prieta,-121.88,37.04,"October 18th, 1989",0:04:15,6.9,18,3757,521,"3,757",521,0,0,11500,31600,10603,"10,603",5078,
1989,Newcastle,Australia,51.61,-33.95,"December 27th, 1989",23:26:27,5.4,10.5,160,13,160,13,290,38000,100,35000,1000,"1,000",530,
1988,Nepal-India border,Nepal,86.62,26.76,"August 20th, 1988",23:09:00,6.8,57,11095,999,"11,095",999,80000,200000,78305,179343,460000,"460,000",242,
1988,Spitak,Armenia,44.119,40.919,"July 12th, 1988",7:41:24,6.7,6.6,19000,25000,"19,000","25,000",0,0,0,0,500000,"500,000",16200,
1987,Edgecumbe,New Zealand,176.92,-30.02,"March 2nd, 1987",1:42:00,6.5,15,35,0,35,0,0,0,11,4000,0,0,27.6,
1987,Reventador,Ecuador,-77.787,0.082,"March 6th, 1987",4:10:00,7.1,17.1,1000,0,"1,000",0,818,1158,3042,12433,20000,"20,000",185,
1986,San Salvador,El Salvador,-89.118,13.827,"October 10th, 1986",17:49:00,5.4,7,10000,1200,"10,000","1,200",156,945,22800,29800,200000,"200,000",685,
1986,Kalamata,Greece,22.18,37.07,"September 13th, 1986",17:24:00,5.9,21.7,300,20,300,20,4495,7633,0,0,10000,"10,000",745,
1985,Michoacan,Mexico,-102.53,18.19,"September 19th, 1985",13:17:47,8.1,28,30000,9500,"30,000","9,500",1040,3300,36000,65000,150000,"150,000",3589,
1985,Valparaiso,Chile,-71.761,-33.139,"March 3rd, 1985",22:47:00,7.9,35,12500,177,"12,500",177,142489,0,0,0,1000000,"1,000,000",1600,
1983,Popayan,Columbia,-76.659,2.439,"March 31st, 1983",13:12:00,5.6,30.1,1500,300,"1,500",300,2500,6800,2470,11385,10000,"10,000",336.97,
1980,El Asnam,Algeria,1.4,36.14,"October 10th, 1980",12:25:00,7.1,15,9000,6000,"9,000","6,000",1133,6399,35450,30000,300000,"300,000",4000,
1980,Terceira Island,Portugal,-27.75,38.73,"January 1st, 1980",16:42:00,6.9,12.2,400,60,400,60,5455,9983,0,0,22000,"22,000",410,
1980,Irpinia,Italy,15.31,40.79,"November 23rd, 1980",18:34:00,6.9,6.9,9394,3007,"9,394","3,007",0,0,20000,80000,527000,"527,000",18500,
1979,"Montenegro, Serbia",Montenegro,19.15,42,"April 15th, 1979",6:19:00,6.9,15,1546,129,"1,546",129,14953,25117,0,0,100000,"100,000",3690,
1978,Tabas,Iran,57.382,33.238,"September 16th, 1978",15:35:56,7.4,33,0,20000,0,"20,000",0,0,15000,0,0,0,11,
1978,Miyagi-ken,Japan,142,38.2,"Hune 12th, 1978",8:14:00,7.7,53,11028,28,"11,028",28,1383,178261,0,0,0,0,800,
1977,Vrancea,Romania,26.7,45.78,"March 4th, 1977",19:21:00,7.5,89,11500,1700,"11,500","1,700",0,0,35600,706659,200000,"200,000","1,683.3",
1976,Guatemala,Guatemala,-89.14,15.3,"February 4th, 1976",9:01:00,7.6,12.3,77190,22868,"77,190","22,868",0,0,254750,0,1044441,"1,044,441",1045,
1976,Tangshan,China,118.19,39.59,"July 27th, 1976",19:42:00,7.6,16.7,779000,242800,"779,000","242,800",1548,659,1500000,1100000,6600000,"6,600,000",7000,
1976,Friuli,Italy,13.27,46.38,"May 6th, 1976",20:00:00,6.5,20.9,2400,965,"2,400",965,6813,69000,20880,75000,189000,"189,000",3471,
1976,Van-Caldiran,Türkiye,44.16,39.12,"November 24th, 1976",12:22.00,7.5,10,497,3840,497,"3,840",0,0,9552,12600,0,0,0,
1975,Diyarbakir-Lice,Türkiye,40.764,38.513,"September 6th, 1975",9:20:00,6.6,32,3339,2385,"3,339","2,385",0,0,8149,11833,0,0,0,
1972,Managua,Nicaragua,-86.269,12.146,"December 23rd, 1972",6:29:00,6.2,6.2,20000,10000,"20,000","10,000",60000,0,53830,50000,300000,"300,000",152,
1971,San Fernando,USA,-118.4,34.42,"February 9th, 1971",14:00:41,6.7,8,2543,65,"2,543",65,1154,6507,1692,27612,0,0,498,
1970,Ancash (Chimbote),Peru,-78.842,-9.248,"May 31st, 1970",20:23:00,7.5,73.2,143500,49000,"143,500","49,000",0,0,186000,0,1700000,"1,700,000",507,
1967,Caracas,Venezuela,-67.31,10.555,"July 30th, 1967",0:00:00,6.6,23.1,1536,275,"1,536",275,16,410,0,0,1000,"1,000",85,
1923,Kanto,Japan,139.139,35.328,"September 1st, 1923",2:58:00,7.9,23,103733,105385,"103,733","105,385",293387,372659,0,0,767326,"767,326",9180,
